season,episode,m3u8_url
1,01,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2726465-70423RMQSYs46v0.smil/playlist.m3u8?hdnts=exp=1787012312~acl=/royatvvod/smil:itwfcdn/royatv/2726465-70423RMQSYs46v0.smil/*~hmac=00303a8829410dcdd0fcc87763bcbd3fdfcbda53a213e3c6c5cb99d7026a7169"
1,02,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2726569-pDY783p885U0I95.smil/playlist.m3u8?hdnts=exp=1787011419~acl=/royatvvod/smil:itwfcdn/royatv/2726569-pDY783p885U0I95.smil/*~hmac=137e1e7a53962a3e76db340dd7ebdc80e4263bb5c9aa30555aef7d88ede9e3f3"
1,03,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2726570-F8qen652282rZ38.smil/playlist.m3u8?hdnts=exp=1787011469~acl=/royatvvod/smil:itwfcdn/royatv/2726570-F8qen652282rZ38.smil/*~hmac=b65979b1d88bcfc95cbdb6d2fc809623b685634e663f47fdb52f360535780edd"
1,04,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2726829-WL1815w9C601Qf6.smil/playlist.m3u8?hdnts=exp=1787011539~acl=/royatvvod/smil:itwfcdn/royatv/2726829-WL1815w9C601Qf6.smil/*~hmac=5932ca0c4f67377bd68f3b6d5e499c7286b016466809f09b37d78671564c9f26"
1,05,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2726830-A7L9IF5117hM42P.smil/playlist.m3u8?hdnts=exp=1787011559~acl=/royatvvod/smil:itwfcdn/royatv/2726830-A7L9IF5117hM42P.smil/*~hmac=d86e951227de5f29e19458624589f465b2409f6f109fd3ced0c4b6c075f3610b"
1,06,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727102-VKg8d5vY060hP16.smil/playlist.m3u8?hdnts=exp=1787011576~acl=/royatvvod/smil:itwfcdn/royatv/2727102-VKg8d5vY060hP16.smil/*~hmac=f2aea0d2c0aacc8ccdcdd63ec4a8131e34a0f3c55398fcc0969c141505c357e3"
1,07,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727368-IWTGQ7I2282TB38.smil/playlist.m3u8?hdnts=exp=1787011594~acl=/royatvvod/smil:itwfcdn/royatv/2727368-IWTGQ7I2282TB38.smil/*~hmac=8d29578adeaf851c273c17c6c61ff449faaf79d719435aec50d14ef8a1691323"
1,08,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727369-RhCqZW844E4DL5G.smil/playlist.m3u8?hdnts=exp=1787011611~acl=/royatvvod/smil:itwfcdn/royatv/2727369-RhCqZW844E4DL5G.smil/*~hmac=8c008058b02fb503122f257be0e08f6286228c7657696ef7da042dac71c20be1"
1,09,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727491-QGBPy8744d4CK4f.smil/playlist.m3u8?hdnts=exp=1787011630~acl=/royatvvod/smil:itwfcdn/royatv/2727491-QGBPy8744d4CK4f.smil/*~hmac=2b9db415b9c8998744ed9ccb456f12b17e77e0d4c9b774017ebc5f7e92479b3d"
1,10,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727636-2YTHQ3J774PUD84.smil/playlist.m3u8?hdnts=exp=1787011649~acl=/royatvvod/smil:itwfcdn/royatv/2727636-2YTHQ3J774PUD84.smil/*~hmac=a3ee633bddfb83537395afb6cb44596d340ff8f8a165c4cf9b36910660f2ca6f"
1,11,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2727878-8K53508451BG7E2.smil/playlist.m3u8?hdnts=exp=1787011669~acl=/royatvvod/smil:itwfcdn/royatv/2727878-8K53508451BG7E2.smil/*~hmac=885da38412fc153a1b760011a7dd8c0bb8d44a01b52770ffa7fee94bf439a503"
1,12,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728042-24UIRP277w7V18z.smil/playlist.m3u8?hdnts=exp=1787011689~acl=/royatvvod/smil:itwfcdn/royatv/2728042-24UIRP277w7V18z.smil/*~hmac=0ce6a4ce4140cb387b5912bdfacfc53bd3b407778d2bbbae4643e4266c6f538b"
1,13,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728159-P1AOX8P34C4BJ4f.smil/playlist.m3u8?hdnts=exp=1787011785~acl=/royatvvod/smil:itwfcdn/royatv/2728159-P1AOX8P34C4BJ4f.smil/*~hmac=aa1775f68b1d9d9088e1628fe56ac66b03812938e06dca0f0381a82d657867ed"
1,14,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728426-YOJxG1955L5K862.smil/playlist.m3u8?hdnts=exp=1787011811~acl=/royatvvod/smil:itwfcdn/royatv/2728426-YOJxG1955L5K862.smil/*~hmac=1eaf43bb42702e72bea73a27b500abc18c2265957fb76fbb35ca64069f05789f"
1,15,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728431-46fSDA4Y0Gbg31J.smil/playlist.m3u8?hdnts=exp=1787011836~acl=/royatvvod/smil:itwfcdn/royatv/2728431-46fSDA4Y0Gbg31J.smil/*~hmac=7a4d0803680367e8abc3e2088eded123205ed0abab17af4d80d328c19f7425ff"
1,16,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728753-9MH4509552DI762.smil/playlist.m3u8?hdnts=exp=1787011860~acl=/royatvvod/smil:itwfcdn/royatv/2728753-9MH4509552DI762.smil/*~hmac=ae36c09c3f4e82b73f1021ae6df4a91a216d13713409db615d748d3cf49728b8"
1,17,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2728908-W26uECWABI56P5l.smil/playlist.m3u8?hdnts=exp=1787011874~acl=/royatvvod/smil:itwfcdn/royatv/2728908-W26uECWABI56P5l.smil/*~hmac=36e11d021337c82ed6aaaac3318c084a1a5743835201762ab019a633ca559486"
1,18,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729554-e3756i1GI3J78M3.smil/playlist.m3u8?hdnts=exp=1787011930~acl=/royatvvod/smil:itwfcdn/royatv/2729554-e3756i1GI3J78M3.smil/*~hmac=8b3ed09ca015e2a516452c5d55314cccb24cd3a6e7b10d3392a38fa4af3d9692"
1,19,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729555-47IVFD401JEJ31M.smil/playlist.m3u8?hdnts=exp=1787011944~acl=/royatvvod/smil:itwfcdn/royatv/2729555-47IVFD401JEJ31M.smil/*~hmac=4372c94a80e8356b49c67a34c3ea209337d56c2573ea16331541ae375217b884"
1,20,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729564-M04kT8MPr934F4b.smil/playlist.m3u8?hdnts=exp=1787011956~acl=/royatvvod/smil:itwfcdn/royatv/2729564-M04kT8MPr934F4b.smil/*~hmac=b6c64b61f73e62b05a59c91d380681818326e5ee3ceb1d0dc09adbf81eaaa776"
1,21,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729811-3H1Q0yt89E912CH.smil/playlist.m3u8?hdnts=exp=1787011967~acl=/royatvvod/smil:itwfcdn/royatv/2729811-3H1Q0yt89E912CH.smil/*~hmac=e5f100085771f707b3c87f48e11b9ffd750e3b0dcd9557398bbf1d78dd1e2160"
1,22,"https://vod.kwikmotion.com/royatvvod/smil:itwfcdn/royatv/2729827-J9THqO6238Pu53X.smil/playlist.m3u8?hdnts=exp=1787011982~acl=/royatvvod/smil:itwfcdn/royatv/2729827-J9THqO6238Pu53X.smil/*~hmac=142405d2cc6e1e3d6c7550c90eaf9036e2ca9eddfa76636b097c4eb7addcdd02"
